112,464 112,440
112,378 112,337
112,293 112,210
158,39 158,66
158,105 158,151
158,181 158,210
256,39 256,464
355,39 355,124
355,210 355,320
355,352 355,406
355,440 355,464
400,126 400,150
400,181 400,235
400,267 400,320
400,352 400,406
400,440 400,464
498,39 498,464
596,126 596,210
596,293 596,406
596,440 596,464
112,293 355,293
112,378 355,378
112,464 355,464
158,39 400,39
158,126 256,126
158,210 256,210
256,166 355,166
400,126 596,126
400,210 498,210
400,293 498,293
400,378 596,378
400,464 596,464
498,39 641,39
498,254 596,254
